Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
Z1yan,JDG,181.0,0.88,114.8,36.0,VCT 2025: China Stage 2,China
Akeman,DRG,193.1,0.85,127.2,27.0,VCT 2025: China Stage 2,China
Babyblue,JDG,154.5,0.76,104.9,29.0,VCT 2025: China Stage 2,China
TvirusLuke,TEC,184.7,0.84,124.1,24.0,VCT 2025: China Stage 2,China
Biank,TE,162.1,0.73,109.9,21.0,VCT 2025: China Stage 2,China
Yuicaw,WOL,156.7,0.67,109.9,32.0,VCT 2025: China Stage 2,China
Juicy,WOL,174.8,0.78,112.3,24.0,VCT 2025: China Stage 2,China
kklin,JDG,162.5,0.73,110.0,28.0,VCT 2025: China Stage 2,China
zjc,EDG,158.8,0.68,101.6,37.0,VCT 2025: China Stage 2,China
o0o0o,NOVA,138.8,0.69,90.1,30.0,VCT 2025: China Stage 2,China
XiYiJi,AG,118.0,0.62,,,VCT 2025: China Stage 2,China
trent,G2,212.6,1.29,145.8,26.0,VCT 2025: Americas Stage 1,Americas
lukxo,LOUD,270.4,1.34,172.8,31.0,VCT 2025: Americas Stage 1,Americas
Cryocells,100T,235.4,1.31,157.9,27.0,VCT 2025: Americas Stage 1,Americas
aspas,MIBR,241.4,1.35,152.3,27.0,VCT 2025: Americas Stage 1,Americas
Verno,MIBR,201.0,1.26,136.7,25.0,VCT 2025: Americas Stage 1,Americas
johnqt,SEN,191.0,1.19,128.1,25.0,VCT 2025: Americas Stage 1,Americas
zekken,SEN,243.1,1.23,150.9,28.0,VCT 2025: Americas Stage 1,Americas
v1c,C9,203.4,1.14,129.9,34.0,VCT 2025: Americas Stage 1,Americas
pANcada,LOUD,214.9,1.14,147.9,32.0,VCT 2025: Americas Stage 1,Americas
leaf,G2,236.0,1.19,153.6,23.0,VCT 2025: Americas Stage 1,Americas
bang,SEN,212.7,1.18,131.9,35.0,VCT 2025: Americas Stage 1,Americas
mada,NRG,239.6,1.11,159.6,25.0,VCT 2025: Americas Stage 1,Americas
keznit,KRÜ,238.9,1.12,153.4,23.0,VCT 2025: Americas Stage 1,Americas
Shyy,KRÜ,190.3,1.2,130.2,25.0,VCT 2025: Americas Stage 1,Americas
s0m,NRG,202.8,1.08,136.3,30.0,VCT 2025: Americas Stage 1,Americas
eeiu,100T,189.8,1.03,128.0,30.0,VCT 2025: Americas Stage 1,Americas
Zap,2G,205.0,1.1,135.3,22.0,VCT 2025: Americas Stage 1,Americas
Ethan,NRG,200.4,1.01,128.3,22.0,VCT 2025: Americas Stage 1,Americas
N4RRATE,SEN,205.4,1.03,137.2,23.0,VCT 2025: Americas Stage 1,Americas
Xeppaa,C9,206.4,1.09,136.8,27.0,VCT 2025: Americas Stage 1,Americas
Demon1,LEV,209.2,1.06,139.4,38.0,VCT 2025: Americas Stage 1,Americas
valyn,G2,200.9,1.08,128.4,24.0,VCT 2025: Americas Stage 1,Americas
Mazino,KRÜ,212.8,1.01,138.9,27.0,VCT 2025: Americas Stage 1,Americas
jawgemo,G2,221.8,1.09,138.8,23.0,VCT 2025: Americas Stage 1,Americas
yay,EG,224.2,1.04,147.3,34.0,VCT 2025: Americas Stage 1,Americas
mitch,C9,188.4,0.95,127.5,22.0,VCT 2025: Americas Stage 1,Americas
zander,100T,185.1,0.93,121.1,23.0,VCT 2025: Americas Stage 1,Americas
supamen,EG,196.3,1.0,127.9,37.0,VCT 2025: Americas Stage 1,Americas
brawk,NRG,185.0,0.98,126.7,19.0,VCT 2025: Americas Stage 1,Americas
OXY,C9,236.4,1.01,150.8,27.0,VCT 2025: Americas Stage 1,Americas
xenom,MIBR,183.1,1.07,119.6,32.0,VCT 2025: Americas Stage 1,Americas
icy,EG,220.3,1.03,146.6,26.0,VCT 2025: Americas Stage 1,Americas
cortezia,MIBR,196.4,1.05,129.2,35.0,VCT 2025: Americas Stage 1,Americas
Derrek,EG,182.6,0.95,128.6,30.0,VCT 2025: Americas Stage 1,Americas
Melser,KRÜ,177.9,0.89,117.9,25.0,VCT 2025: Americas Stage 1,Americas
dgzin,LOUD,215.1,1.0,136.0,30.0,VCT 2025: Americas Stage 1,Americas
tex,LEV,198.5,0.98,132.1,38.0,VCT 2025: Americas Stage 1,Americas
lz,2G,193.4,0.96,120.4,40.0,VCT 2025: Americas Stage 1,Americas
C0M,LEV,170.4,0.86,117.9,25.0,VCT 2025: Americas Stage 1,Americas
Askia,2G,194.0,0.94,134.0,32.0,VCT 2025: Americas Stage 1,Americas
JonahP,G2,162.3,0.82,103.3,19.0,VCT 2025: Americas Stage 1,Americas
Asuna,100T,201.7,0.87,135.2,24.0,VCT 2025: Americas Stage 1,Americas
NaturE,EG,182.0,0.86,118.1,23.0,VCT 2025: Americas Stage 1,Americas
cauanzin,LOUD,178.3,0.87,122.2,23.0,VCT 2025: Americas Stage 1,Americas
kiNgg,LEV,189.1,0.89,123.0,28.0,VCT 2025: Americas Stage 1,Americas
pryze,FUR,168.3,0.83,114.6,27.0,VCT 2025: Americas Stage 1,Americas
tuyz,LOUD,161.1,0.85,110.7,30.0,VCT 2025: Americas Stage 1,Americas
adverso,KRÜ,166.8,0.82,116.8,20.0,VCT 2025: Americas Stage 1,Americas
Rossy,LEV,174.6,0.83,115.1,29.0,VCT 2025: Americas Stage 1,Americas
Khalil,FUR,175.8,0.84,116.4,27.0,VCT 2025: Americas Stage 1,Americas
Zellsis,SEN,173.3,0.87,114.5,24.0,VCT 2025: Americas Stage 1,Americas
gobera,2G,177.7,0.86,126.0,28.0,VCT 2025: Americas Stage 1,Americas
neT,C9,169.6,0.88,107.3,29.0,VCT 2025: Americas Stage 1,Americas
PxS,2G,164.4,0.75,105.9,28.0,VCT 2025: Americas Stage 1,Americas
silentzz,2G,188.5,0.82,127.2,37.0,VCT 2025: Americas Stage 1,Americas
artzin,MIBR,182.5,0.78,118.6,23.0,VCT 2025: Americas Stage 1,Americas
heat,FUR,166.4,0.81,116.2,41.0,VCT 2025: Americas Stage 1,Americas
FiNESSE,NRG,150.7,0.69,104.4,19.0,VCT 2025: Americas Stage 1,Americas
Boostio,100T,152.4,0.68,103.7,30.0,VCT 2025: Americas Stage 1,Americas
havoc,FUR,184.6,0.78,121.2,33.0,VCT 2025: Americas Stage 1,Americas
raafa,FUR,136.0,0.6,91.0,20.0,VCT 2025: Americas Stage 1,Americas
v1nny,LOUD,129.3,0.57,85.8,28.0,VCT 2025: Americas Stage 1,Americas
kaajak,FNC,249.9,1.38,160.6,30.0,VCT 2025: EMEA Stage 1,EMEA
marteen,KC,245.3,1.31,159.2,33.0,VCT 2025: EMEA Stage 1,EMEA
SUYGETSU,KC,195.3,1.2,129.7,41.0,VCT 2025: EMEA Stage 1,EMEA
sociablEE,BBL,212.6,1.22,142.4,26.0,VCT 2025: EMEA Stage 1,EMEA
MiniBoo,TH,241.0,1.2,151.3,34.0,VCT 2025: EMEA Stage 1,EMEA
keiko,TL,213.8,1.1,141.6,39.0,VCT 2025: EMEA Stage 1,EMEA
RieNs,TH,207.1,1.13,139.5,39.0,VCT 2025: EMEA Stage 1,EMEA
PROFEK,BBL,209.8,1.08,136.7,27.0,VCT 2025: EMEA Stage 1,EMEA
crashies,FNC,190.6,1.14,128.8,33.0,VCT 2025: EMEA Stage 1,EMEA
nAts,TL,216.0,1.15,141.8,26.0,VCT 2025: EMEA Stage 1,EMEA
Wo0t,TH,222.0,1.16,141.8,33.0,VCT 2025: EMEA Stage 1,EMEA
CyvOph,VIT,209.5,1.06,127.7,32.0,VCT 2025: EMEA Stage 1,EMEA
Shao,NAVI,194.7,1.07,133.7,33.0,VCT 2025: EMEA Stage 1,EMEA
florescent,APK,235.8,1.11,151.7,35.0,VCT 2025: EMEA Stage 1,EMEA
kamyk,M8,205.2,1.04,141.0,34.0,VCT 2025: EMEA Stage 1,EMEA
Ruxic,NAVI,210.4,1.05,136.6,32.0,VCT 2025: EMEA Stage 1,EMEA
Chronicle,FNC,203.8,1.1,131.1,23.0,VCT 2025: EMEA Stage 1,EMEA
MrFaliN,FUT,186.1,0.94,126.0,23.0,VCT 2025: EMEA Stage 1,EMEA
benjyfishy,TH,197.5,1.15,133.9,38.0,VCT 2025: EMEA Stage 1,EMEA
Minny,M8,190.7,1.02,131.3,35.0,VCT 2025: EMEA Stage 1,EMEA
ara,GX,229.8,1.09,146.7,24.0,VCT 2025: EMEA Stage 1,EMEA
Avez,KC,204.4,1.07,132.9,32.0,VCT 2025: EMEA Stage 1,EMEA
soulcas,MKOI,190.6,1.0,127.7,35.0,VCT 2025: EMEA Stage 1,EMEA
LewN,BBL,221.0,1.1,148.4,32.0,VCT 2025: EMEA Stage 1,EMEA
MAGNUM,BBL,197.1,1.05,127.4,23.0,VCT 2025: EMEA Stage 1,EMEA
yetujey,FUT,189.5,1.07,130.6,23.0,VCT 2025: EMEA Stage 1,EMEA
Cloud,GX,206.8,1.02,137.2,28.0,VCT 2025: EMEA Stage 1,EMEA
hiro,NAVI,202.9,1.08,135.7,31.0,VCT 2025: EMEA Stage 1,EMEA
xeus,FUT,233.0,1.08,144.6,39.0,VCT 2025: EMEA Stage 1,EMEA
Alfajer,FNC,213.4,1.08,142.7,30.0,VCT 2025: EMEA Stage 1,EMEA
MOLSI,APK,194.4,0.97,125.6,29.0,VCT 2025: EMEA Stage 1,EMEA
koalanoob,NAVI,210.3,1.0,133.8,21.0,VCT 2025: EMEA Stage 1,EMEA
AtaKaptan,FUT,184.9,0.89,120.7,31.0,VCT 2025: EMEA Stage 1,EMEA
Jamppi,BBL,180.8,0.96,115.1,23.0,VCT 2025: EMEA Stage 1,EMEA
westside,GX,192.2,0.99,124.3,42.0,VCT 2025: EMEA Stage 1,EMEA
Kicks,VIT,167.6,0.88,110.0,23.0,VCT 2025: EMEA Stage 1,EMEA
Boo,TH,163.9,0.92,103.6,33.0,VCT 2025: EMEA Stage 1,EMEA
Less,VIT,189.2,1.01,123.8,32.0,VCT 2025: EMEA Stage 1,EMEA
paTiTek,TL,176.3,0.93,116.7,25.0,VCT 2025: EMEA Stage 1,EMEA
Elite,KC,172.2,0.91,114.8,33.0,VCT 2025: EMEA Stage 1,EMEA
kamo,TL,209.3,1.01,135.3,30.0,VCT 2025: EMEA Stage 1,EMEA
Derke,VIT,208.5,0.92,133.4,23.0,VCT 2025: EMEA Stage 1,EMEA
Boaster,FNC,161.7,0.93,106.6,24.0,VCT 2025: EMEA Stage 1,EMEA
Filu,MKOI,206.9,0.94,130.2,26.0,VCT 2025: EMEA Stage 1,EMEA
Flickless,GX,172.4,0.9,116.5,33.0,VCT 2025: EMEA Stage 1,EMEA
Serial,TL,167.0,0.89,114.0,37.0,VCT 2025: EMEA Stage 1,EMEA
sheydos,MKOI,169.4,0.92,116.1,30.0,VCT 2025: EMEA Stage 1,EMEA
runneR,GX,173.7,0.79,120.4,24.0,VCT 2025: EMEA Stage 1,EMEA
qRaxs,FUT,171.8,0.88,113.8,26.0,VCT 2025: EMEA Stage 1,EMEA
Kada,M8,177.8,0.85,119.0,31.0,VCT 2025: EMEA Stage 1,EMEA
saadhak,KC,183.1,0.82,119.6,26.0,VCT 2025: EMEA Stage 1,EMEA
AvovA,APK,167.0,0.76,108.3,29.0,VCT 2025: EMEA Stage 1,EMEA
purp0,GX,173.1,0.78,115.6,35.0,VCT 2025: EMEA Stage 1,EMEA
batujnax,APK,187.8,0.86,122.1,27.0,VCT 2025: EMEA Stage 1,EMEA
Sayf,VIT,165.2,0.82,114.8,23.0,VCT 2025: EMEA Stage 1,EMEA
grubinho,MKOI,153.6,0.75,104.2,32.0,VCT 2025: EMEA Stage 1,EMEA
flyuh,MKOI,189.7,0.8,128.3,27.0,VCT 2025: EMEA Stage 1,EMEA
Zyppan,M8,150.5,0.74,108.9,27.0,VCT 2025: EMEA Stage 1,EMEA
ANGE1,NAVI,146.8,0.71,100.2,34.0,VCT 2025: EMEA Stage 1,EMEA
Click,M8,187.9,0.78,115.6,36.0,VCT 2025: EMEA Stage 1,EMEA
tomaszy,GX,146.0,0.61,99.3,33.0,VCT 2025: EMEA Stage 1,EMEA
Governor,APK,145.2,0.63,98.0,27.0,VCT 2025: EMEA Stage 1,EMEA
invy,TS,237.2,1.27,158.4,29.0,VCT 2025: Pacific Stage 1,Pacific
Jemkin,RRQ,253.9,1.3,161.3,38.0,VCT 2025: Pacific Stage 1,Pacific
dos9,BME,212.2,1.18,136.3,26.0,VCT 2025: Pacific Stage 1,Pacific
Jinggg,PRX,220.9,1.18,145.4,26.0,VCT 2025: Pacific Stage 1,Pacific
Foxy9,GEN,207.8,1.25,137.3,34.0,VCT 2025: Pacific Stage 1,Pacific
MaKo,DRX,209.2,1.14,135.8,26.0,VCT 2025: Pacific Stage 1,Pacific
HYUNMIN,DRX,238.3,1.2,152.0,30.0,VCT 2025: Pacific Stage 1,Pacific
Akame,DFM,212.9,1.01,142.8,32.0,VCT 2025: Pacific Stage 1,Pacific
primmie,TLN,229.8,1.2,148.8,34.0,VCT 2025: Pacific Stage 1,Pacific
f0rsakeN,PRX,226.1,1.18,142.9,29.0,VCT 2025: Pacific Stage 1,Pacific
t3xture,GEN,244.0,1.21,154.8,28.0,VCT 2025: Pacific Stage 1,Pacific
Flashback,DRX,215.6,1.29,139.4,24.0,VCT 2025: Pacific Stage 1,Pacific
Karon,GEN,207.7,1.1,134.3,31.0,VCT 2025: Pacific Stage 1,Pacific
Munchkin,GEN,198.8,1.05,130.3,24.0,VCT 2025: Pacific Stage 1,Pacific
margaret,NS,205.8,1.13,135.5,29.0,VCT 2025: Pacific Stage 1,Pacific
Kr1stal,GE,188.5,1.01,127.1,24.0,VCT 2025: Pacific Stage 1,Pacific
NcSlasher,BME,197.4,1.03,126.8,28.0,VCT 2025: Pacific Stage 1,Pacific
Francis,NS,198.8,1.03,130.8,21.0,VCT 2025: Pacific Stage 1,Pacific
UdoTan,GE,215.3,1.01,148.4,30.0,VCT 2025: Pacific Stage 1,Pacific
SugarZ3ro,ZETA,181.8,1.05,116.4,29.0,VCT 2025: Pacific Stage 1,Pacific
iZu,T1,195.8,1.05,126.2,30.0,VCT 2025: Pacific Stage 1,Pacific
something,PRX,197.8,1.03,127.4,26.0,VCT 2025: Pacific Stage 1,Pacific
BerserX,BME,196.0,1.05,127.7,25.0,VCT 2025: Pacific Stage 1,Pacific
Ivy,NS,172.2,1.01,112.7,30.0,VCT 2025: Pacific Stage 1,Pacific
Kushy,RRQ,193.0,0.99,131.2,32.0,VCT 2025: Pacific Stage 1,Pacific
PatMen,PRX,193.0,0.96,124.8,30.0,VCT 2025: Pacific Stage 1,Pacific
Ash,GEN,173.7,1.04,116.8,31.0,VCT 2025: Pacific Stage 1,Pacific
BeYN,DRX,178.2,0.96,117.6,25.0,VCT 2025: Pacific Stage 1,Pacific
Killua,TLN,187.5,0.98,126.7,34.0,VCT 2025: Pacific Stage 1,Pacific
JessieVash,TS,182.5,0.94,128.3,30.0,VCT 2025: Pacific Stage 1,Pacific
Persia,NS,173.8,0.92,113.1,26.0,VCT 2025: Pacific Stage 1,Pacific
Famouz,BME,228.3,1.08,146.7,21.0,VCT 2025: Pacific Stage 1,Pacific
d4v41,PRX,190.7,1.06,127.1,24.0,VCT 2025: Pacific Stage 1,Pacific
Meteor,T1,215.3,1.01,144.2,30.0,VCT 2025: Pacific Stage 1,Pacific
BuZz,T1,225.0,1.06,145.0,27.0,VCT 2025: Pacific Stage 1,Pacific
xffero,RRQ,183.8,1.03,126.3,26.0,VCT 2025: Pacific Stage 1,Pacific
free1ng,DRX,189.6,1.01,123.7,27.0,VCT 2025: Pacific Stage 1,Pacific
CLZ,ZETA,178.1,0.88,126.2,26.0,VCT 2025: Pacific Stage 1,Pacific
Dambi,NS,210.8,0.99,133.6,24.0,VCT 2025: Pacific Stage 1,Pacific
gyen,DFM,189.8,0.79,125.8,37.0,VCT 2025: Pacific Stage 1,Pacific
stax,T1,175.2,0.94,119.2,31.0,VCT 2025: Pacific Stage 1,Pacific
crazyguy,RRQ,181.8,0.92,121.2,24.0,VCT 2025: Pacific Stage 1,Pacific
Monyet,RRQ,181.1,0.93,119.7,28.0,VCT 2025: Pacific Stage 1,Pacific
TenTen,ZETA,216.4,0.96,135.5,16.0,VCT 2025: Pacific Stage 1,Pacific
Dep,ZETA,211.1,0.98,142.3,28.0,VCT 2025: Pacific Stage 1,Pacific
Shiro,BME,187.6,0.9,128.1,27.0,VCT 2025: Pacific Stage 1,Pacific
thyy,TLN,177.2,0.88,113.7,33.0,VCT 2025: Pacific Stage 1,Pacific
Sylvan,T1,179.2,0.86,120.5,25.0,VCT 2025: Pacific Stage 1,Pacific
JitBoyS,TLN,186.9,0.91,125.6,36.0,VCT 2025: Pacific Stage 1,Pacific
Meiy,DFM,190.3,0.89,123.9,28.0,VCT 2025: Pacific Stage 1,Pacific
Jremy,TS,201.0,0.91,131.7,26.0,VCT 2025: Pacific Stage 1,Pacific
Crws,TLN,174.2,0.87,119.8,25.0,VCT 2025: Pacific Stage 1,Pacific
Xdll,ZETA,200.5,0.88,129.1,35.0,VCT 2025: Pacific Stage 1,Pacific
kellyS,GE,182.4,0.81,119.7,21.0,VCT 2025: Pacific Stage 1,Pacific
mindfreak,PRX,165.2,0.83,114.1,30.0,VCT 2025: Pacific Stage 1,Pacific
Wild0reoo,TS,185.5,0.84,123.4,26.0,VCT 2025: Pacific Stage 1,Pacific
Estrella,DRX,161.7,0.84,103.9,25.0,VCT 2025: Pacific Stage 1,Pacific
2GE,TS,165.3,0.74,108.7,23.0,VCT 2025: Pacific Stage 1,Pacific
Deryeon,GE,207.5,0.74,132.3,25.0,VCT 2025: Pacific Stage 1,Pacific
Papi,GE,152.4,0.75,98.8,26.0,VCT 2025: Pacific Stage 1,Pacific
Jinboong,DFM,157.4,0.72,111.1,33.0,VCT 2025: Pacific Stage 1,Pacific
SyouTa,ZETA,162.8,0.77,108.1,35.0,VCT 2025: Pacific Stage 1,Pacific
Suggest,GEN,152.2,0.77,110.8,30.0,VCT 2025: Pacific Stage 1,Pacific
Art,DFM,135.7,0.52,92.8,21.0,VCT 2025: Pacific Stage 1,Pacific
yokam,GE,152.7,0.56,104.2,23.0,VCT 2025: Pacific Stage 1,Pacific
t3xture,GEN,258.2,1.44,159.5,28.0,Valorant Masters Toronto 2025,Masters
Spring,WOL,244.1,1.23,160.1,29.0,Valorant Masters Toronto 2025,Masters
Verno,MIBR,230.5,1.02,157.6,28.0,Valorant Masters Toronto 2025,Masters
Alfajer,FNC,257.9,1.3,167.6,32.0,Valorant Masters Toronto 2025,Masters
zekken,SEN,237.5,1.21,147.2,24.0,Valorant Masters Toronto 2025,Masters
trent,G2,214.2,1.22,138.0,35.0,Valorant Masters Toronto 2025,Masters
leaf,G2,230.3,1.21,148.6,24.0,Valorant Masters Toronto 2025,Masters
Chronicle,FNC,207.6,1.18,141.1,26.0,Valorant Masters Toronto 2025,Masters
whzy,BLG,253.1,1.21,155.5,28.0,Valorant Masters Toronto 2025,Masters
f0rsakeN,PRX,208.9,1.06,137.5,26.0,Valorant Masters Toronto 2025,Masters
Jinggg,PRX,229.1,1.15,151.9,23.0,Valorant Masters Toronto 2025,Masters
keiko,TL,199.3,1.17,132.9,45.0,Valorant Masters Toronto 2025,Masters
N4RRATE,SEN,219.5,1.06,140.1,24.0,Valorant Masters Toronto 2025,Masters
d4v41,PRX,189.4,1.12,131.7,26.0,Valorant Masters Toronto 2025,Masters
happywei,XLG,223.0,0.97,147.0,45.0,Valorant Masters Toronto 2025,Masters
kaajak,FNC,218.3,1.13,141.5,35.0,Valorant Masters Toronto 2025,Masters
rushia,BLG,201.9,0.99,130.6,27.0,Valorant Masters Toronto 2025,Masters
Karon,GEN,189.3,1.09,125.6,31.0,Valorant Masters Toronto 2025,Masters
crashies,FNC,181.8,1.07,126.4,34.0,Valorant Masters Toronto 2025,Masters
Ash,GEN,173.9,1.05,118.3,31.0,Valorant Masters Toronto 2025,Masters
PatMen,PRX,193.0,1.02,124.2,31.0,Valorant Masters Toronto 2025,Masters
penny,TL,188.4,0.98,131.3,20.0,Valorant Masters Toronto 2025,Masters
Munchkin,GEN,207.8,1.02,134.1,22.0,Valorant Masters Toronto 2025,Masters
bang,SEN,188.1,0.99,112.5,34.0,Valorant Masters Toronto 2025,Masters
johnqt,SEN,166.3,0.94,109.7,26.0,Valorant Masters Toronto 2025,Masters
Zellsis,SEN,173.6,0.95,118.2,21.0,Valorant Masters Toronto 2025,Masters
jawgemo,G2,217.1,1.0,143.7,23.0,Valorant Masters Toronto 2025,Masters
Monyet,RRQ,196.4,0.89,130.3,26.0,Valorant Masters Toronto 2025,Masters
something,PRX,192.2,1.0,123.9,25.0,Valorant Masters Toronto 2025,Masters
kamo,TL,210.8,0.99,141.9,35.0,Valorant Masters Toronto 2025,Masters
Juicy,WOL,212.0,1.0,139.5,25.0,Valorant Masters Toronto 2025,Masters
Wo0t,TH,183.0,0.86,118.9,34.0,Valorant Masters Toronto 2025,Masters
nephh,BLG,178.6,0.87,117.9,22.0,Valorant Masters Toronto 2025,Masters
valyn,G2,172.1,0.86,109.6,22.0,Valorant Masters Toronto 2025,Masters
JonahP,G2,178.8,0.9,113.2,24.0,Valorant Masters Toronto 2025,Masters
Lysoar,WOL,174.5,0.88,112.1,25.0,Valorant Masters Toronto 2025,Masters
SiuFatBB,WOL,151.1,0.88,99.9,28.0,Valorant Masters Toronto 2025,Masters
paTiTek,TL,183.1,0.88,117.7,27.0,Valorant Masters Toronto 2025,Masters
Levius,BLG,158.1,0.94,111.4,23.0,Valorant Masters Toronto 2025,Masters
xffero,RRQ,175.2,0.89,118.8,32.0,Valorant Masters Toronto 2025,Masters
Yuicaw,WOL,175.0,0.89,117.3,27.0,Valorant Masters Toronto 2025,Masters
Foxy9,GEN,179.2,0.98,111.6,32.0,Valorant Masters Toronto 2025,Masters
Kushy,RRQ,174.0,0.86,114.0,39.0,Valorant Masters Toronto 2025,Masters
nAts,TL,186.0,0.88,121.2,28.0,Valorant Masters Toronto 2025,Masters
Rarga,XLG,217.0,0.88,136.1,41.0,Valorant Masters Toronto 2025,Masters
RieNs,TH,191.5,0.84,125.0,28.0,Valorant Masters Toronto 2025,Masters
benjyfishy,TH,178.8,0.85,119.9,30.0,Valorant Masters Toronto 2025,Masters
Jemkin,RRQ,196.8,0.88,138.2,33.0,Valorant Masters Toronto 2025,Masters
Boaster,FNC,143.4,0.76,94.4,25.0,Valorant Masters Toronto 2025,Masters
Knight,BLG,149.1,0.81,105.0,26.0,Valorant Masters Toronto 2025,Masters
Serial,TL,155.2,0.84,103.1,45.0,Valorant Masters Toronto 2025,Masters
Boo,TH,139.5,0.7,86.7,38.0,Valorant Masters Toronto 2025,Masters
crazyguy,RRQ,144.2,0.65,90.7,25.0,Valorant Masters Toronto 2025,Masters
MiniBoo,TH,167.5,0.81,105.6,31.0,Valorant Masters Toronto 2025,Masters
xenom,MIBR,148.3,0.65,101.7,35.0,Valorant Masters Toronto 2025,Masters
cortezia,MIBR,164.0,0.66,115.2,33.0,Valorant Masters Toronto 2025,Masters
Viva,XLG,147.0,0.51,107.6,27.0,Valorant Masters Toronto 2025,Masters
coconut,XLG,128.3,0.57,82.6,26.0,Valorant Masters Toronto 2025,Masters
Midi,XLG,132.0,0.58,88.8,34.0,Valorant Masters Toronto 2025,Masters
aspas,MIBR,129.8,0.53,88.8,18.0,Valorant Masters Toronto 2025,Masters
artzin,MIBR,121.5,0.52,86.3,26.0,Valorant Masters Toronto 2025,Masters
CHICHOO,EDG,235.6,1.27,158.1,28.0,Valorant Masters Bangkok 2025,Masters
nAts,TL,257.6,1.32,155.1,26.0,Valorant Masters Bangkok 2025,Masters
trent,G2,220.0,1.21,146.9,25.0,Valorant Masters Bangkok 2025,Masters
Derke,VIT,257.2,1.2,166.8,22.0,Valorant Masters Bangkok 2025,Masters
iZu,T1,207.1,1.24,130.6,30.0,Valorant Masters Bangkok 2025,Masters
free1ng,DRX,227.3,1.16,146.9,29.0,Valorant Masters Bangkok 2025,Masters
keiko,TL,198.9,1.09,137.7,30.0,Valorant Masters Bangkok 2025,Masters
trexx,VIT,207.3,1.02,134.3,19.0,Valorant Masters Bangkok 2025,Masters
BeYN,DRX,182.4,1.03,117.3,25.0,Valorant Masters Bangkok 2025,Masters
BuZz,T1,239.5,1.12,150.4,17.0,Valorant Masters Bangkok 2025,Masters
valyn,G2,186.8,1.06,122.1,23.0,Valorant Masters Bangkok 2025,Masters
leaf,G2,207.3,1.09,137.5,24.0,Valorant Masters Bangkok 2025,Masters
N4RRATE,SEN,202.4,0.97,148.4,27.0,Valorant Masters Bangkok 2025,Masters
Meteor,T1,229.0,1.09,152.8,33.0,Valorant Masters Bangkok 2025,Masters
Less,VIT,197.1,1.03,128.8,29.0,Valorant Masters Bangkok 2025,Masters
jawgemo,G2,218.5,1.06,142.9,23.0,Valorant Masters Bangkok 2025,Masters
Sylvan,T1,186.1,0.97,114.6,27.0,Valorant Masters Bangkok 2025,Masters
ZmjjKK,EDG,236.2,1.04,151.0,23.0,Valorant Masters Bangkok 2025,Masters
stax,T1,173.6,1.01,120.3,31.0,Valorant Masters Bangkok 2025,Masters
Smoggy,EDG,191.1,0.93,124.6,30.0,Valorant Masters Bangkok 2025,Masters
Flashback,DRX,180.4,1.0,126.4,26.0,Valorant Masters Bangkok 2025,Masters
kamo,TL,215.0,1.02,144.5,27.0,Valorant Masters Bangkok 2025,Masters
JonahP,G2,187.6,0.93,119.3,24.0,Valorant Masters Bangkok 2025,Masters
Kicks,VIT,174.3,0.93,115.0,27.0,Valorant Masters Bangkok 2025,Masters
nobody,EDG,180.1,0.9,123.9,30.0,Valorant Masters Bangkok 2025,Masters
bang,SEN,186.0,0.91,113.8,31.0,Valorant Masters Bangkok 2025,Masters
Kai,TE,200.8,0.87,128.6,31.0,Valorant Masters Bangkok 2025,Masters
zekken,SEN,196.6,0.99,135.1,29.0,Valorant Masters Bangkok 2025,Masters
MaKo,DRX,173.3,0.83,118.4,24.0,Valorant Masters Bangkok 2025,Masters
HYUNMIN,DRX,205.9,0.89,134.0,32.0,Valorant Masters Bangkok 2025,Masters
kamyk,TL,180.3,0.85,118.3,31.0,Valorant Masters Bangkok 2025,Masters
Biank,TE,166.8,0.72,115.6,19.0,Valorant Masters Bangkok 2025,Masters
S1Mon,EDG,151.5,0.75,100.7,30.0,Valorant Masters Bangkok 2025,Masters
johnqt,SEN,159.8,0.79,105.3,19.0,Valorant Masters Bangkok 2025,Masters
Zellsis,SEN,159.8,0.63,109.3,19.0,Valorant Masters Bangkok 2025,Masters
Sayf,VIT,155.9,0.74,100.1,22.0,Valorant Masters Bangkok 2025,Masters
LuoK1ng,TE,155.8,0.67,105.2,34.0,Valorant Masters Bangkok 2025,Masters
paTiTek,TL,144.0,0.65,97.8,25.0,Valorant Masters Bangkok 2025,Masters
heybay,TE,134.3,0.54,89.7,26.0,Valorant Masters Bangkok 2025,Masters
carpe,T1,140.5,0.57,92.1,27.0,Valorant Masters Bangkok 2025,Masters
FengF,TE,151.0,0.56,104.6,21.0,Valorant Masters Bangkok 2025,Masters
keiko,TL,239.5,1.34,156.3,40.0,VCT 2025: EMEA Kickoff,EMEA
Minny,M8,219.5,1.26,139.8,38.0,VCT 2025: EMEA Kickoff,EMEA
florescent,APK,256.6,1.16,172.9,38.0,VCT 2025: EMEA Kickoff,EMEA
kaajak,FNC,245.0,1.3,157.9,37.0,VCT 2025: EMEA Kickoff,EMEA
yetujey,FUT,230.8,1.15,150.9,26.0,VCT 2025: EMEA Kickoff,EMEA
Alfajer,FNC,233.5,1.15,153.4,29.0,VCT 2025: EMEA Kickoff,EMEA
Derke,VIT,252.8,1.17,164.9,30.0,VCT 2025: EMEA Kickoff,EMEA
