Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
rushia,BLG,147.6,0.59,102.3,19.0,Valorant Champions 2025,Champions
whzy,BLG,154.4,0.61,101.9,31.0,Valorant Champions 2025,Champions
OXY,C9,254.6,1.25,160.0,27.0,VCT 2025: Americas Stage 2,Americas
valyn,G2,213.7,1.23,135.6,27.0,VCT 2025: Americas Stage 2,Americas
N4RRATE,SEN,225.2,1.17,144.0,26.0,VCT 2025: Americas Stage 2,Americas
Cryocells,100T,221.0,1.23,145.9,30.0,VCT 2025: Americas Stage 2,Americas
JonahP,G2,206.4,1.2,129.3,23.0,VCT 2025: Americas Stage 2,Americas
brawk,NRG,213.7,1.15,139.2,19.0,VCT 2025: Americas Stage 2,Americas
Sato,LEV,254.0,1.2,163.7,33.0,VCT 2025: Americas Stage 2,Americas
aspas,MIBR,227.4,1.22,147.3,26.0,VCT 2025: Americas Stage 2,Americas
keznit,KRÜ,234.1,1.15,151.3,23.0,VCT 2025: Americas Stage 2,Americas
johnqt,SEN,184.2,1.18,119.8,25.0,VCT 2025: Americas Stage 2,Americas
zekken,SEN,234.0,1.18,148.9,24.0,VCT 2025: Americas Stage 2,Americas
trent,G2,192.1,1.14,126.1,26.0,VCT 2025: Americas Stage 2,Americas
kiNgg,LEV,194.4,1.04,126.4,27.0,VCT 2025: Americas Stage 2,Americas
leaf,G2,211.4,1.11,139.5,26.0,VCT 2025: Americas Stage 2,Americas
skuba,NRG,189.8,1.14,126.7,25.0,VCT 2025: Americas Stage 2,Americas
Derrek,EG,210.1,1.0,147.9,31.0,VCT 2025: Americas Stage 2,Americas
silentzz,2G,198.5,1.14,134.6,37.0,VCT 2025: Americas Stage 2,Americas
eeiu,100T,194.4,1.11,127.9,31.0,VCT 2025: Americas Stage 2,Americas
cortezia,MIBR,202.7,1.11,138.9,33.0,VCT 2025: Americas Stage 2,Americas
v1c,C9,199.9,1.08,129.4,30.0,VCT 2025: Americas Stage 2,Americas
jawgemo,G2,227.5,1.14,142.2,23.0,VCT 2025: Americas Stage 2,Americas
bang,SEN,194.6,1.09,118.8,29.0,VCT 2025: Americas Stage 2,Americas
s0m,NRG,197.0,1.03,128.5,26.0,VCT 2025: Americas Stage 2,Americas
mada,NRG,222.9,1.11,142.0,26.0,VCT 2025: Americas Stage 2,Americas
lukxo,LOUD,211.4,1.06,139.5,34.0,VCT 2025: Americas Stage 2,Americas
BABYBAY,G2,197.5,1.09,128.7,22.0,VCT 2025: Americas Stage 2,Americas
Okeanos,LEV,200.8,1.02,132.7,33.0,VCT 2025: Americas Stage 2,Americas
Ethan,NRG,195.0,0.96,124.1,23.0,VCT 2025: Americas Stage 2,Americas
Asuna,100T,207.3,1.0,135.4,21.0,VCT 2025: Americas Stage 2,Americas
Virtyy,LOUD,214.0,1.03,133.2,25.0,VCT 2025: Americas Stage 2,Americas
Zellsis,SEN,190.0,1.04,122.4,22.0,VCT 2025: Americas Stage 2,Americas
spike,2G,232.5,1.03,149.2,25.0,VCT 2025: Americas Stage 2,Americas
Xeppaa,C9,200.7,0.99,132.4,23.0,VCT 2025: Americas Stage 2,Americas
Shyy,KRÜ,182.9,0.96,123.6,30.0,VCT 2025: Americas Stage 2,Americas
C0M,LEV,170.5,0.93,117.9,27.0,VCT 2025: Americas Stage 2,Americas
zander,100T,198.4,0.98,128.2,26.0,VCT 2025: Americas Stage 2,Americas
Mazino,KRÜ,191.1,0.94,126.9,24.0,VCT 2025: Americas Stage 2,Americas
yay,EG,217.7,0.98,142.2,29.0,VCT 2025: Americas Stage 2,Americas
xenom,MIBR,168.5,0.92,110.9,35.0,VCT 2025: Americas Stage 2,Americas
Melser,KRÜ,159.2,0.9,104.4,26.0,VCT 2025: Americas Stage 2,Americas
mitch,C9,175.4,0.87,115.5,19.0,VCT 2025: Americas Stage 2,Americas
cauanzin,LOUD,193.8,0.91,125.7,25.0,VCT 2025: Americas Stage 2,Americas
pryze,2G,178.6,0.8,124.0,22.0,VCT 2025: Americas Stage 2,Americas
Kess,100T,173.1,0.88,112.9,28.0,VCT 2025: Americas Stage 2,Americas
neT,C9,164.1,0.91,108.1,31.0,VCT 2025: Americas Stage 2,Americas
NaturE,EG,180.3,0.8,113.4,21.0,VCT 2025: Americas Stage 2,Americas
pANcada,LOUD,164.1,0.81,111.9,38.0,VCT 2025: Americas Stage 2,Americas
Dantedeu5,KRÜ,187.8,0.87,122.3,25.0,VCT 2025: Americas Stage 2,Americas
heat,FUR,185.1,0.77,123.5,30.0,VCT 2025: Americas Stage 2,Americas
lz,2G,160.9,0.79,103.0,40.0,VCT 2025: Americas Stage 2,Americas
adverso,FUR,188.3,0.76,125.4,20.0,VCT 2025: Americas Stage 2,Americas
icy,EG,167.5,0.82,112.4,28.0,VCT 2025: Americas Stage 2,Americas
tex,LEV,162.1,0.85,107.5,32.0,VCT 2025: Americas Stage 2,Americas
supamen,EG,154.5,0.78,102.1,35.0,VCT 2025: Americas Stage 2,Americas
artzin,MIBR,179.8,0.85,119.1,22.0,VCT 2025: Americas Stage 2,Americas
gobera,2G,156.7,0.72,101.4,27.0,VCT 2025: Americas Stage 2,Americas
RobbieBk,LOUD,149.0,0.73,103.3,35.0,VCT 2025: Americas Stage 2,Americas
Palla,FUR,199.0,0.75,130.5,30.0,VCT 2025: Americas Stage 2,Americas
tuyz,FUR,135.7,0.61,93.5,28.0,VCT 2025: Americas Stage 2,Americas
Verno,MIBR,140.5,0.64,96.1,27.0,VCT 2025: Americas Stage 2,Americas
Urango,FUR,139.9,0.55,94.4,31.0,VCT 2025: Americas Stage 2,Americas
Ruxic,NAVI,246.4,1.36,159.4,31.0,VCT 2025: EMEA Stage 2,EMEA
keiko,TL,233.4,1.33,148.6,32.0,VCT 2025: EMEA Stage 2,EMEA
SUYGETSU,KC,214.6,1.2,139.4,41.0,VCT 2025: EMEA Stage 2,EMEA
nAts,TL,231.4,1.19,152.3,25.0,VCT 2025: EMEA Stage 2,EMEA
RieNs,TH,226.8,1.15,155.8,35.0,VCT 2025: EMEA Stage 2,EMEA
hiro,NAVI,220.1,1.19,149.6,35.0,VCT 2025: EMEA Stage 2,EMEA
Wo0t,TH,227.3,1.18,149.4,38.0,VCT 2025: EMEA Stage 2,EMEA
Derke,VIT,244.5,1.12,162.1,26.0,VCT 2025: EMEA Stage 2,EMEA
Less,VIT,205.9,1.17,132.9,32.0,VCT 2025: EMEA Stage 2,EMEA
Sayf,VIT,176.0,0.93,123.0,37.0,VCT 2025: EMEA Stage 2,EMEA
kaajak,FNC,235.9,1.14,150.8,35.0,VCT 2025: EMEA Stage 2,EMEA
trexx,TL,203.5,1.07,130.1,20.0,VCT 2025: EMEA Stage 2,EMEA
Avez,KC,223.1,1.12,144.3,32.0,VCT 2025: EMEA Stage 2,EMEA
Alfajer,FNC,221.9,1.15,148.6,36.0,VCT 2025: EMEA Stage 2,EMEA
ara,GX,216.7,1.12,140.3,26.0,VCT 2025: EMEA Stage 2,EMEA
crashies,FNC,191.5,1.03,133.5,33.0,VCT 2025: EMEA Stage 2,EMEA
cNed,FUT,215.8,1.05,138.6,33.0,VCT 2025: EMEA Stage 2,EMEA
PROFEK,BBL,191.5,1.03,130.1,26.0,VCT 2025: EMEA Stage 2,EMEA
marteen,KC,215.9,1.09,138.7,34.0,VCT 2025: EMEA Stage 2,EMEA
grubinho,GX,202.2,1.01,132.1,29.0,VCT 2025: EMEA Stage 2,EMEA
westside,GX,196.1,1.07,130.2,44.0,VCT 2025: EMEA Stage 2,EMEA
yetujey,FUT,202.6,1.02,137.9,27.0,VCT 2025: EMEA Stage 2,EMEA
Chronicle,FNC,206.2,1.02,139.7,27.0,VCT 2025: EMEA Stage 2,EMEA
paTiTek,TL,185.9,1.04,122.4,25.0,VCT 2025: EMEA Stage 2,EMEA
Minny,M8,199.1,0.99,135.5,36.0,VCT 2025: EMEA Stage 2,EMEA
